id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,xmin,xmax,ymin,ymax,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max,extent_wkt
0:1:56,national_transformation_v2_0,BCcambel,0:1,,21,21,2,49.91666667,50.08333333,-125.33333333,-125.16666667,-0.6540,-0.6412,-5.2188,-5.0768,0.0010,0.1850,0.0020,1.6070,"POLYGON((-125.33333333 49.91666667,-125.33333333 50.08333333,-125.16666667 50.08333333,-125.16666667 49.91666667, -125.33333333 49.91666667))"
0:1:57,national_transformation_v2_0,BCcranbk,0:1,,21,21,2,49.41666667,49.58333333,-115.83333333,-115.66666667,-0.1589,-0.1099,-3.7984,-3.7344,0.0010,0.4190,0.0010,0.2250,"POLYGON((-115.83333333 49.41666667,-115.83333333 49.58333333,-115.66666667 49.58333333,-115.66666667 49.41666667, -115.83333333 49.41666667))"
0:1:58,national_transformation_v2_0,BCdawson,0:1,,21,21,2,55.66666667,55.83333333,-120.33333333,-120.16666667,-0.1825,-0.1694,-5.1658,-5.1290,0.0030,0.0170,0.0030,0.0190,"POLYGON((-120.33333333 55.66666667,-120.33333333 55.83333333,-120.16666667 55.83333333,-120.16666667 55.66666667, -120.33333333 55.66666667))"
0:1:59,national_transformation_v2_0,BCelkfrd,0:1,,21,11,2,50.00000000,50.08333333,-115.00000000,-114.83333333,0.0566,0.1476,-3.7996,-3.6695,0.0020,2.0240,0.0020,0.8440,"POLYGON((-115.00000000 50.00000000,-115.00000000 50.08333333,-114.83333333 50.08333333,-114.83333333 50.00000000, -115.00000000 50.00000000))"
0:1:60,national_transformation_v2_0,BCfield,0:1,,21,11,2,51.33333333,51.41666667,-116.58333333,-116.41666667,-0.0719,-0.0461,-3.9898,-3.9561,0.0370,0.3780,0.0340,0.7350,"POLYGON((-116.58333333 51.33333333,-116.58333333 51.41666667,-116.41666667 51.41666667,-116.41666667 51.33333333, -116.58333333 51.33333333))"
0:1:61,national_transformation_v2_0,BCgranil,0:1,,11,11,2,54.83333333,54.91666667,-126.25000000,-126.16666667,-0.3594,-0.3505,-6.1499,-6.1253,0.0010,0.0220,0.0010,0.0260,"POLYGON((-126.25000000 54.83333333,-126.25000000 54.91666667,-126.16666667 54.91666667,-126.16666667 54.83333333, -126.25000000 54.83333333))"
0:1:62,national_transformation_v2_0,BCkamlop,0:1,,51,21,2,50.58333333,50.75000000,-120.50000000,-120.08333333,-0.4161,-0.3861,-4.5302,-4.4599,0.0000,0.0960,0.0000,0.0950,"POLYGON((-120.50000000 50.58333333,-120.50000000 50.75000000,-120.08333333 50.75000000,-120.08333333 50.58333333, -120.50000000 50.58333333))"
0:1:63,national_transformation_v2_0,BCkelwna,0:1,,31,31,2,49.83333333,50.08333333,-119.58333333,-119.33333333,-0.4108,-0.3929,-4.3398,-4.2541,0.0010,0.2350,0.0010,0.4380,"POLYGON((-119.58333333 49.83333333,-119.58333333 50.08333333,-119.33333333 50.08333333,-119.33333333 49.83333333, -119.58333333 49.83333333))"
0:1:64,national_transformation_v2_0,BClogan,0:1,,11,11,2,50.41666667,50.50000000,-120.83333333,-120.75000000,-0.4381,-0.4283,-4.5531,-4.5276,0.0180,0.3000,0.0540,0.2480,"POLYGON((-120.83333333 50.41666667,-120.83333333 50.50000000,-120.75000000 50.50000000,-120.75000000 50.41666667, -120.83333333 50.41666667))"
0:1:65,national_transformation_v2_0,BCmacknz,0:1,,21,21,2,55.25000000,55.41666667,-123.16666667,-123.00000000,-0.2704,-0.2499,-5.5973,-5.5304,0.0010,0.1940,0.0010,0.5320,"POLYGON((-123.16666667 55.25000000,-123.16666667 55.41666667,-123.00000000 55.41666667,-123.00000000 55.25000000, -123.16666667 55.25000000))"
0:1:66,national_transformation_v2_0,BCnanimo,0:1,,61,61,2,48.75000000,49.25000000,-124.08333333,-123.58333333,-0.7147,-0.6238,-4.9259,-4.7646,0.0000,0.9380,0.0010,1.2770,"POLYGON((-124.08333333 48.75000000,-124.08333333 49.25000000,-123.58333333 49.25000000,-123.58333333 48.75000000, -124.08333333 48.75000000))"
0:1:67,national_transformation_v2_0,BCnelson,0:1,,11,21,2,49.41666667,49.58333333,-117.33333333,-117.25000000,-0.2733,-0.2643,-4.0238,-3.9901,0.0020,0.0190,0.0020,0.0120,"POLYGON((-117.33333333 49.41666667,-117.33333333 49.58333333,-117.25000000 49.58333333,-117.25000000 49.41666667, -117.33333333 49.41666667))"
0:1:68,national_transformation_v2_0,BCparkvl,0:1,,21,11,2,49.25000000,49.33333333,-124.41666667,-124.25000000,-0.7828,-0.6525,-5.2069,-4.9333,0.0020,2.6850,0.0010,2.9120,"POLYGON((-124.41666667 49.25000000,-124.41666667 49.33333333,-124.25000000 49.33333333,-124.25000000 49.25000000, -124.41666667 49.25000000))"
0:1:69,national_transformation_v2_0,BCpentic,0:1,,21,21,2,49.41666667,49.58333333,-119.66666667,-119.50000000,-0.4602,-0.4122,-4.3617,-4.2953,0.0010,0.6510,0.0010,0.4800,"POLYGON((-119.66666667 49.41666667,-119.66666667 49.58333333,-119.50000000 49.58333333,-119.50000000 49.41666667, -119.66666667 49.41666667))"
0:1:70,national_transformation_v2_0,BCportal,0:1,,11,21,2,49.16666667,49.33333333,-124.83333333,-124.75000000,-0.6866,-0.6719,-5.0627,-5.0184,0.0010,0.4690,0.0010,0.4500,"POLYGON((-124.83333333 49.16666667,-124.83333333 49.33333333,-124.75000000 49.33333333,-124.75000000 49.16666667, -124.83333333 49.16666667))"
0:1:71,national_transformation_v2_0,BCpowell,0:1,,21,21,2,49.75000000,49.91666667,-124.58333333,-124.41666667,-0.6965,-0.5722,-5.0955,-5.0463,0.0020,1.2640,0.0010,0.2130,"POLYGON((-124.58333333 49.75000000,-124.58333333 49.91666667,-124.41666667 49.91666667,-124.41666667 49.75000000, -124.58333333 49.75000000))"
0:1:72,national_transformation_v2_0,BCprigeo,0:1,,41,41,2,53.75000000,54.08333333,-122.91666667,-122.58333333,-0.2044,-0.1524,-5.4721,-5.2200,0.0010,0.8170,0.0010,2.7480,"POLYGON((-122.91666667 53.75000000,-122.91666667 54.08333333,-122.58333333 54.08333333,-122.58333333 53.75000000, -122.91666667 53.75000000))"
0:1:73,national_transformation_v2_0,BCroslnd,0:1,,11,11,2,49.00000000,49.08333333,-117.83333333,-117.75000000,-0.3196,-0.3039,-4.0322,-4.0114,0.0040,0.3600,0.0020,0.1710,"POLYGON((-117.83333333 49.00000000,-117.83333333 49.08333333,-117.75000000 49.08333333,-117.75000000 49.00000000, -117.83333333 49.00000000))"
0:1:74,national_transformation_v2_0,BCtrail,0:1,,11,11,2,49.08333333,49.16666667,-117.75000000,-117.66666667,-0.3070,-0.2927,-4.0294,-4.0021,0.0110,0.1660,0.0080,0.0880,"POLYGON((-117.75000000 49.08333333,-117.75000000 49.16666667,-117.66666667 49.16666667,-117.66666667 49.08333333, -117.75000000 49.08333333))"
0:1:75,national_transformation_v2_0,BCtumblr,0:1,,21,11,2,55.08333333,55.16666667,-121.08333333,-120.91666667,-0.2368,-0.2255,-5.2049,-5.1613,0.0030,0.0530,0.0030,0.1400,"POLYGON((-121.08333333 55.08333333,-121.08333333 55.16666667,-120.91666667 55.16666667,-120.91666667 55.08333333, -121.08333333 55.08333333))"
0:1:76,national_transformation_v2_0,BCvancvr,0:1,,131,51,2,49.00000000,49.41666667,-123.25000000,-122.16666667,-0.6294,-0.5655,-4.7910,-4.6076,0.0010,0.4690,0.0000,0.5170,"POLYGON((-123.25000000 49.00000000,-123.25000000 49.41666667,-122.16666667 49.41666667,-122.16666667 49.00000000, -123.25000000 49.00000000))"
0:1:77,national_transformation_v2_0,BCvernon,0:1,,21,21,2,50.16666667,50.33333333,-119.33333333,-119.16666667,-0.3956,-0.3731,-4.2597,-4.2218,0.0010,0.4290,0.0010,0.2750,"POLYGON((-119.33333333 50.16666667,-119.33333333 50.33333333,-119.16666667 50.33333333,-119.16666667 50.16666667, -119.33333333 50.16666667))"
0:1:78,national_transformation_v2_0,BCvictor,0:1,,41,51,2,48.33333333,48.75000000,-123.58333333,-123.25000000,-0.6706,-0.6346,-4.7646,-4.6513,0.0000,0.1740,0.0000,0.2130,"POLYGON((-123.58333333 48.33333333,-123.58333333 48.75000000,-123.25000000 48.75000000,-123.25000000 48.33333333, -123.58333333 48.33333333))"
0:1:79,national_transformation_v2_0,ONthundr,0:1,,71,51,2,48.16666667,48.58333333,-89.58333333,-89.00000000,0.1670,0.1832,-0.2719,-0.1760,0.0000,0.0440,0.0010,0.0600,"POLYGON((-89.58333333 48.16666667,-89.58333333 48.58333333,-89.00000000 48.58333333,-89.00000000 48.16666667, -89.58333333 48.16666667))"
0:1:80,national_transformation_v2_0,SAestvan,0:1,,21,21,2,49.08333333,49.25000000,-103.08333333,-102.91666667,0.1111,0.1300,-1.6963,-1.6388,0.1020,0.2490,0.1070,0.3510,"POLYGON((-103.08333333 49.08333333,-103.08333333 49.25000000,-102.91666667 49.25000000,-102.91666667 49.08333333, -103.08333333 49.08333333))"
0:1:81,national_transformation_v2_0,SAmelfrt,0:1,,71,21,2,52.75000000,52.91666667,-104.66666667,-104.08333333,0.0182,0.0635,-1.7906,-1.7092,0.0290,0.4220,0.0500,0.3530,"POLYGON((-104.66666667 52.75000000,-104.66666667 52.91666667,-104.08333333 52.91666667,-104.08333333 52.75000000, -104.66666667 52.75000000))"
0:1:82,national_transformation_v2_0,SAmelvil,0:1,,21,21,2,50.83333333,51.00000000,-102.91666667,-102.75000000,0.0080,0.0280,-1.8008,-1.7722,0.1190,0.3250,0.0480,0.1470,"POLYGON((-102.91666667 50.83333333,-102.91666667 51.00000000,-102.75000000 51.00000000,-102.75000000 50.83333333, -102.91666667 50.83333333))"
0:1:83,national_transformation_v2_0,SAmosjaw,0:1,,41,21,2,50.33333333,50.50000000,-105.75000000,-105.41666667,0.0938,0.1001,-2.0951,-2.0488,0.0000,0.1250,0.0010,0.0530,"POLYGON((-105.75000000 50.33333333,-105.75000000 50.50000000,-105.41666667 50.50000000,-105.41666667 50.33333333, -105.75000000 50.33333333))"
0:1:84,national_transformation_v2_0,SAnbatle,0:1,,31,21,2,52.66666667,52.83333333,-108.41666667,-108.16666667,0.2308,0.2540,-2.4996,-2.4042,0.0050,0.2510,0.0010,0.9770,"POLYGON((-108.41666667 52.66666667,-108.41666667 52.83333333,-108.16666667 52.83333333,-108.16666667 52.66666667, -108.41666667 52.66666667))"
0:1:85,national_transformation_v2_0,SApralbt,0:1,,61,31,2,53.08333333,53.33333333,-106.00000000,-105.50000000,0.1236,0.1723,-1.9017,-1.7881,0.0000,0.3890,0.0000,0.2740,"POLYGON((-106.00000000 53.08333333,-106.00000000 53.33333333,-105.50000000 53.33333333,-105.50000000 53.08333333, -106.00000000 53.08333333))"
0:1:86,national_transformation_v2_0,SAregina,0:1,,31,31,2,50.33333333,50.58333333,-104.75000000,-104.50000000,0.1403,0.2052,-2.0468,-1.9605,0.0010,0.7740,0.0010,0.4290,"POLYGON((-104.75000000 50.33333333,-104.75000000 50.58333333,-104.50000000 50.58333333,-104.50000000 50.33333333, -104.75000000 50.33333333))"
0:1:87,national_transformation_v2_0,SAsatoon,0:1,,51,31,2,52.00000000,52.25000000,-106.83333333,-106.41666667,0.1390,0.1707,-2.2630,-2.1593,0.0020,0.1770,0.0020,0.4440,"POLYGON((-106.83333333 52.00000000,-106.83333333 52.25000000,-106.41666667 52.25000000,-106.41666667 52.00000000, -106.83333333 52.00000000))"
0:1:88,national_transformation_v2_0,SAswiftc,0:1,,31,31,2,50.16666667,50.41666667,-107.91666667,-107.66666667,0.1112,0.1274,-2.4513,-2.3981,0.0010,0.1030,0.0020,0.1540,"POLYGON((-107.91666667 50.16666667,-107.91666667 50.41666667,-107.66666667 50.41666667,-107.66666667 50.16666667, -107.91666667 50.16666667))"
0:1:89,national_transformation_v2_0,SAweybrn,0:1,,21,21,2,49.58333333,49.75000000,-103.91666667,-103.75000000,0.0866,0.0967,-1.9907,-1.9288,0.1210,0.2870,0.1020,0.3590,"POLYGON((-103.91666667 49.58333333,-103.91666667 49.75000000,-103.75000000 49.75000000,-103.75000000 49.58333333, -103.91666667 49.58333333))"
0:1:90,national_transformation_v2_0,SAyorktn,0:1,,31,21,2,51.16666667,51.33333333,-102.58333333,-102.33333333,-0.0017,0.0108,-1.7383,-1.7028,0.0020,0.1130,0.0050,0.0640,"POLYGON((-102.58333333 51.16666667,-102.58333333 51.33333333,-102.33333333 51.33333333,-102.33333333 51.16666667, -102.58333333 51.16666667))"
0:2,national_transformation_v2_0,CAnorth,,,589,181,1,60.00000000,75.00000000,-142.00000000,-44.00000000,-1.3747,2.9552,-18.2206,13.4633,0.0010,17.1190,0.0020,10.2440,"POLYGON((-142.00000000 60.00000000,-142.00000000 75.00000000,-44.00000000 75.00000000,-44.00000000 60.00000000, -142.00000000 60.00000000))"
0:2:0,national_transformation_v2_0,NWclyder,0:2,,31,31,2,70.33333333,70.58333333,-68.83333333,-68.33333333,1.9066,1.9421,5.1382,5.3794,0.1830,2.7570,0.4550,1.3430,"POLYGON((-68.83333333 70.33333333,-68.83333333 70.58333333,-68.33333333 70.58333333,-68.33333333 70.33333333, -68.83333333 70.33333333))"
0:2:1,national_transformation_v2_0,NWftgood,0:2,,21,21,2,66.16666667,66.33333333,-128.83333333,-128.50000000,0.1285,0.1722,-7.4260,-7.3096,0.6440,1.0210,0.2200,0.3390,"POLYGON((-128.83333333 66.16666667,-128.83333333 66.33333333,-128.50000000 66.33333333,-128.50000000 66.16666667, -128.83333333 66.16666667))"
0:2:2,national_transformation_v2_0,NWhayriv,0:2,,61,61,2,60.50000000,61.00000000,-116.50000000,-115.50000000,0.4074,0.4773,-5.0386,-4.7967,0.0020,0.2180,0.0000,0.1530,"POLYGON((-116.50000000 60.50000000,-116.50000000 61.00000000,-115.50000000 61.00000000,-115.50000000 60.50000000, -116.50000000 60.50000000))"
0:2:3,national_transformation_v2_0,NWinuvik,0:2,,31,41,2,68.16666667,68.50000000,-133.83333333,-133.33333333,-0.2786,-0.1723,-9.3348,-8.9970,0.3360,0.8820,0.1720,0.6010,"POLYGON((-133.83333333 68.16666667,-133.83333333 68.50000000,-133.33333333 68.50000000,-133.33333333 68.16666667, -133.83333333 68.16666667))"
0:2:4,national_transformation_v2_0,NWiqulit,0:2,,61,61,2,63.50000000,64.00000000,-69.00000000,-68.00000000,1.0036,1.1128,3.8507,4.1174,0.0030,1.1940,0.0020,0.2970,"POLYGON((-69.00000000 63.50000000,-69.00000000 64.00000000,-68.00000000 64.00000000,-68.00000000 63.50000000, -69.00000000 63.50000000))"
0:2:5,national_transformation_v2_0,NWpondin,0:2,,41,21,2,72.58333333,72.75000000,-78.16666667,-77.50000000,2.4373,2.4735,3.0930,3.3236,0.0650,0.1250,0.0860,0.1670,"POLYGON((-78.16666667 72.58333333,-78.16666667 72.75000000,-77.50000000 72.75000000,-77.50000000 72.58333333, -78.16666667 72.58333333))"
0:2:6,national_transformation_v2_0,NWrankin,0:2,,11,21,2,62.75000000,62.91666667,-92.16666667,-92.00000000,1.1102,1.1276,0.0883,0.1235,0.0030,0.0920,0.0180,0.1030,"POLYGON((-92.16666667 62.75000000,-92.16666667 62.91666667,-92.00000000 62.91666667,-92.00000000 62.75000000, -92.16666667 62.75000000))"
0:2:7,national_transformation_v2_0,NWyellow,0:2,,11,11,2,62.41666667,62.50000000,-114.50000000,-114.33333333,0.7049,0.7161,-4.6228,-4.5772,0.0030,0.2070,0.0020,0.2640,"POLYGON((-114.50000000 62.41666667,-114.50000000 62.50000000,-114.33333333 62.50000000,-114.33333333 62.41666667, -114.50000000 62.41666667))"
0:2:8,national_transformation_v2_0,YUdawson,0:2,,11,21,2,64.00000000,64.16666667,-139.50000000,-139.33333333,-0.9961,-0.9441,-8.0693,-8.0050,0.1940,0.5260,0.0700,0.2950,"POLYGON((-139.50000000 64.00000000,-139.50000000 64.16666667,-139.33333333 64.16666667,-139.33333333 64.00000000, -139.50000000 64.00000000))"
0:2:9,national_transformation_v2_0,YUrossri,0:2,,11,21,2,61.91666667,62.08333333,-132.58333333,-132.41666667,-0.7595,-0.7362,-6.9251,-6.8711,0.1210,0.2120,0.0600,0.1730,"POLYGON((-132.58333333 61.91666667,-132.58333333 62.08333333,-132.41666667 62.08333333,-132.41666667 61.91666667, -132.58333333 61.91666667))"
0:2:10,national_transformation_v2_0,YUwhiteh,0:2,,6,11,2,60.66666667,60.75000000,-135.08333333,-135.00000000,-1.0582,-1.0485,-6.7570,-6.7265,0.0020,0.0250,0.0010,0.0230,"POLYGON((-135.08333333 60.66666667,-135.08333333 60.75000000,-135.00000000 60.75000000,-135.00000000 60.66666667, -135.08333333 60.66666667))"
0:3,national_transformation_v2_0,CAarctic,,,295,109,1,75.00000000,84.00000000,-142.00000000,-44.00000000,0.7969,4.8127,-39.3323,38.4454,0.0240,10.1620,0.0070,10.6070,"POLYGON((-142.00000000 75.00000000,-142.00000000 84.00000000,-44.00000000 84.00000000,-44.00000000 75.00000000, -142.00000000 75.00000000))"
