nodeLatitude,nodeLongitude,geoidHeight
-35.000000,23.708333,28.381
-35.000000,23.750000,28.348
-35.000000,23.791667,28.320
-35.000000,23.833333,28.296
-35.000000,23.875000,28.267
-35.000000,23.916667,28.227
-35.000000,23.958333,28.179
-35.000000,24.000000,28.125
-35.000000,24.041667,28.071
-35.000000,24.083333,28.018
-35.000000,24.125000,27.961
-35.000000,24.166667,27.891
-35.000000,24.208333,27.810
-35.000000,24.250000,27.711
-35.000000,24.291667,27.602
-35.000000,24.333333,27.481
-35.000000,24.375000,27.359
-35.000000,24.416667,27.230
-35.000000,24.458333,27.093
-35.000000,24.500000,26.950
-35.000000,24.541667,26.804
-35.000000,24.583333,26.665
-35.000000,24.625000,26.535
-35.000000,24.666667,26.406
-35.000000,24.708333,26.277
-35.000000,24.750000,26.153
-35.000000,24.791667,26.047
-35.000000,24.833333,25.972
-35.000000,24.875000,25.917
-35.000000,24.916667,25.862
-35.000000,24.958333,25.798
-35.000000,25.000000,25.733
-35.000000,25.041667,25.683
-35.000000,25.083333,25.657
-35.000000,25.125000,25.649
-35.000000,25.166667,25.651
-35.000000,25.208333,25.661
-35.000000,25.250000,25.678
-35.000000,25.291667,25.697
-35.000000,25.333333,25.715
-35.000000,25.375000,25.739
-35.000000,25.416667,25.761
-35.000000,25.458333,25.784
-35.000000,25.500000,25.811
-35.000000,25.541667,25.844
-35.000000,25.583333,25.891
-35.000000,25.625000,25.955
-35.000000,25.666667,26.048
-35.000000,25.708333,26.165
-35.000000,25.750000,26.308
-35.000000,25.791667,26.464
-35.000000,25.833333,26.624
-35.000000,25.875000,26.776
-35.000000,25.916667,26.913
-35.000000,25.958333,27.034
-35.000000,26.000000,27.139
-35.000000,26.041667,27.232
-35.000000,26.083333,27.314
-35.000000,26.125000,27.384
-35.000000,26.166667,27.433
-35.000000,26.208333,27.468
-35.000000,26.250000,27.490
-35.000000,26.291667,27.509
-35.000000,26.333333,27.521
-35.000000,26.375000,27.521
-35.000000,26.416667,27.502
-35.000000,26.458333,27.469
-35.000000,26.500000,27.433
-35.000000,26.541667,27.398
-35.000000,26.583333,27.367
-35.000000,26.625000,27.334
-35.000000,26.666667,27.301
-35.000000,26.708333,27.267
-35.000000,26.750000,27.233
-35.000000,26.791667,27.197
-35.000000,26.833333,27.162
-35.000000,26.875000,27.122
-35.000000,26.916667,27.073
-35.000000,26.958333,27.023
-35.000000,27.000000,26.981
-35.000000,27.041667,26.949
-35.000000,27.083333,26.926
-35.000000,27.125000,26.901
