id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
0:1:14,national_transformation_v2_0,ALdrumhl,0:1,,61,41,2,"POLYGON((-112.91666666666667 51.24999999999999,-112.91666666666667 51.58333333333333,-112.41666666666667 51.58333333333333,-112.41666666666667 51.24999999999999, -112.91666666666667 51.24999999999999))",0.222440,0.232230,3.313710,3.400320,0.000000,0.107000,0.001000,0.165000
0:1:15,national_transformation_v2_0,ALedmntn,0:1,,131,91,2,"POLYGON((-114.16666666666667 53.166666666666664,-114.16666666666667 53.916666666666664,-113.08333333333334 53.916666666666664,-113.08333333333334 53.166666666666664, -114.16666666666667 53.166666666666664))",0.216740,0.273260,3.563750,3.740980,0.000000,0.166000,0.000000,0.268000
0:1:16,national_transformation_v2_0,ALedson,0:1,,41,21,2,"POLYGON((-116.58333333333334 53.5,-116.58333333333334 53.666666666666664,-116.25000000000001 53.666666666666664,-116.25000000000001 53.5, -116.58333333333334 53.5))",0.244430,0.267380,4.076420,4.151010,0.006000,0.153000,0.004000,0.190000
0:1:17,national_transformation_v2_0,ALfairvw,0:1,,21,21,2,"POLYGON((-118.5 56.0,-118.5 56.166666666666664,-118.33333333333333 56.166666666666664,-118.33333333333333 56.0, -118.5 56.0))",0.081050,0.103280,4.956000,4.992230,0.002000,0.490000,0.005000,0.069000
0:1:18,national_transformation_v2_0,ALftmacl,0:1,,31,21,2,"POLYGON((-113.5 49.666666666666664,-113.5 49.83333333333333,-113.25 49.83333333333333,-113.25 49.666666666666664, -113.5 49.666666666666664))",-0.011250,0.034930,3.356110,3.463680,0.012000,0.341000,0.012000,0.394000
0:1:19,national_transformation_v2_0,ALftmcmr,0:1,,61,31,2,"POLYGON((-111.58333333333334 56.58333333333333,-111.58333333333334 56.83333333333333,-111.08333333333334 56.83333333333333,-111.08333333333334 56.58333333333333, -111.58333333333334 56.58333333333333))",0.353850,0.386120,3.307980,3.428730,0.001000,0.322000,0.001000,0.267000
0:1:20,national_transformation_v2_0,ALgrcach,0:1,,31,21,2,"POLYGON((-119.25 53.833333333333336,-119.25 54.0,-119.0 54.0,-119.0 53.833333333333336, -119.25 53.833333333333336))",0.047470,0.095170,4.563600,4.683020,0.000000,0.469000,0.000000,0.457000
0:1:21,national_transformation_v2_0,ALgrimsh,0:1,,21,21,2,"POLYGON((-117.66666666666667 56.083333333333336,-117.66666666666667 56.25,-117.5 56.25,-117.5 56.083333333333336, -117.66666666666667 56.083333333333336))",0.142150,0.164050,4.845510,4.884740,0.002000,0.037000,0.003000,0.064000
0:1:22,national_transformation_v2_0,ALgrprar,0:1,,41,21,2,"POLYGON((-118.91666666666667 55.083333333333336,-118.91666666666667 55.25,-118.58333333333334 55.25,-118.58333333333334 55.083333333333336, -118.91666666666667 55.083333333333336))",-0.057540,-0.012190,4.837960,4.899810,0.002000,0.180000,0.001000,0.054000
0:1:23,national_transformation_v2_0,ALhanna,0:1,,31,21,2,"POLYGON((-112.08333333333334 51.583333333333336,-112.08333333333334 51.75,-111.83333333333334 51.75,-111.83333333333334 51.583333333333336, -112.08333333333334 51.583333333333336))",0.231830,0.242620,3.239240,3.281410,0.001000,0.016000,0.001000,0.019000
0:1:24,national_transformation_v2_0,ALhilevl,0:1,,31,21,2,"POLYGON((-117.25 58.416666666666664,-117.25 58.58333333333333,-117.0 58.58333333333333,-117.0 58.416666666666664, -117.25 58.416666666666664))",0.304030,0.335700,4.934670,5.028690,0.001000,0.149000,0.002000,0.359000
0:1:25,national_transformation_v2_0,ALhinton,0:1,,31,21,2,"POLYGON((-117.66666666666667 53.333333333333336,-117.66666666666667 53.5,-117.41666666666667 53.5,-117.41666666666667 53.333333333333336, -117.66666666666667 53.333333333333336))",0.143990,0.173460,4.240050,4.297070,0.002000,0.153000,0.002000,0.097000
0:1:26,national_transformation_v2_0,ALhiprai,0:1,,41,21,2,"POLYGON((-116.66666666666667 55.333333333333336,-116.66666666666667 55.5,-116.33333333333334 55.5,-116.33333333333334 55.333333333333336, -116.66666666666667 55.333333333333336))",0.146470,0.186720,4.463830,4.540410,0.005000,0.236000,0.007000,0.135000
0:1:27,national_transformation_v2_0,ALinnsfl,0:1,,21,31,2,"POLYGON((-114.0 51.916666666666664,-114.0 52.166666666666664,-113.83333333333333 52.166666666666664,-113.83333333333333 51.916666666666664, -114.0 51.916666666666664))",0.198130,0.209730,3.564440,3.618700,0.002000,0.102000,0.001000,0.161000
0:1:28,national_transformation_v2_0,ALjasper,0:1,,21,11,2,"POLYGON((-118.16666666666667 52.83333333333333,-118.16666666666667 52.916666666666664,-118.0 52.916666666666664,-118.0 52.83333333333333, -118.16666666666667 52.83333333333333))",0.008120,0.055950,4.237010,4.284130,0.155000,0.686000,0.078000,0.245000
0:1:29,national_transformation_v2_0,ALlacbic,0:1,,31,21,2,"POLYGON((-112.08333333333334 54.666666666666664,-112.08333333333334 54.83333333333333,-111.83333333333334 54.83333333333333,-111.83333333333334 54.666666666666664, -112.08333333333334 54.666666666666664))",0.349630,0.361880,3.408380,3.451860,0.002000,0.021000,0.001000,0.027000
0:1:30,national_transformation_v2_0,ALlacomb,0:1,,31,11,2,"POLYGON((-113.83333333333334 52.49999999999999,-113.83333333333334 52.58333333333333,-113.58333333333334 52.58333333333333,-113.58333333333334 52.49999999999999, -113.83333333333334 52.49999999999999))",0.204250,0.213780,3.585700,3.629320,0.002000,0.060000,0.001000,0.045000
0:1:31,national_transformation_v2_0,ALletbrg,0:1,,61,41,2,"POLYGON((-113.0 49.58333333333333,-113.0 49.916666666666664,-112.5 49.916666666666664,-112.5 49.58333333333333, -113.0 49.58333333333333))",-0.025480,0.067670,3.278710,3.374940,0.001000,0.614000,0.001000,0.381000
0:1:32,national_transformation_v2_0,ALlkloui,0:1,,21,21,2,"POLYGON((-116.25 51.333333333333336,-116.25 51.5,-116.08333333333333 51.5,-116.08333333333333 51.333333333333336, -116.25 51.333333333333336))",-0.028390,-0.006160,3.894680,3.955680,0.115000,0.490000,0.181000,0.377000
0:1:33,national_transformation_v2_0,ALlydmin,0:1,,31,21,2,"POLYGON((-110.16666666666667 53.166666666666664,-110.16666666666667 53.33333333333333,-109.91666666666667 53.33333333333333,-109.91666666666667 53.166666666666664, -110.16666666666667 53.166666666666664))",0.261420,0.294060,2.809150,2.855390,0.001000,0.653000,0.000000,0.039000
0:1:34,national_transformation_v2_0,ALmedhat,0:1,,41,31,2,"POLYGON((-110.83333333333334 49.916666666666664,-110.83333333333334 50.166666666666664,-110.50000000000001 50.166666666666664,-110.50000000000001 49.916666666666664, -110.83333333333334 49.916666666666664))",0.102020,0.159720,2.926410,2.991220,0.001000,0.311000,0.001000,0.060000
0:1:35,national_transformation_v2_0,ALolds,0:1,,31,21,2,"POLYGON((-114.25 51.75,-114.25 51.916666666666664,-114.0 51.916666666666664,-114.0 51.75, -114.25 51.75))",0.190080,0.205990,3.570620,3.616630,0.003000,0.057000,0.003000,0.056000
0:1:36,national_transformation_v2_0,ALoyen,0:1,,31,21,2,"POLYGON((-110.58333333333334 51.25,-110.58333333333334 51.416666666666664,-110.33333333333334 51.416666666666664,-110.33333333333334 51.25, -110.58333333333334 51.25))",0.204600,0.226020,2.898910,2.952430,0.001000,0.131000,0.000000,0.206000
0:1:37,national_transformation_v2_0,ALpeacer,0:1,,31,31,2,"POLYGON((-117.41666666666667 56.08333333333333,-117.41666666666667 56.33333333333333,-117.16666666666667 56.33333333333333,-117.16666666666667 56.08333333333333, -117.41666666666667 56.08333333333333))",0.157340,0.185650,4.760950,4.862710,0.000000,0.123000,0.001000,0.151000
0:1:38,national_transformation_v2_0,ALpinchr,0:1,,11,21,2,"POLYGON((-114.0 49.416666666666664,-114.0 49.58333333333333,-113.91666666666667 49.58333333333333,-113.91666666666667 49.416666666666664, -114.0 49.416666666666664))",-0.040820,-0.019990,3.381030,3.515850,0.010000,0.232000,0.008000,1.222000
0:1:39,national_transformation_v2_0,ALponoka,0:1,,21,21,2,"POLYGON((-113.66666666666667 52.583333333333336,-113.66666666666667 52.75,-113.5 52.75,-113.5 52.583333333333336, -113.66666666666667 52.583333333333336))",0.206150,0.214160,3.575260,3.620240,0.001000,0.046000,0.001000,0.117000
0:1:40,national_transformation_v2_0,ALraymnd,0:1,,51,21,2,"POLYGON((-113.0 49.333333333333336,-113.0 49.5,-112.58333333333333 49.5,-112.58333333333333 49.333333333333336, -113.0 49.333333333333336))",-0.042450,-0.020900,3.307620,3.376050,0.001000,0.358000,0.002000,0.240000
0:1:41,national_transformation_v2_0,ALredeer,0:1,,41,31,2,"POLYGON((-113.91666666666667 52.166666666666664,-113.91666666666667 52.416666666666664,-113.58333333333334 52.416666666666664,-113.58333333333334 52.166666666666664, -113.91666666666667 52.166666666666664))",0.205130,0.216470,3.557270,3.630790,0.001000,0.115000,0.001000,0.275000
0:1:42,national_transformation_v2_0,ALrockmt,0:1,,31,31,2,"POLYGON((-115.0 52.25,-115.0 52.5,-114.75 52.5,-114.75 52.25, -115.0 52.25))",0.196200,0.236710,3.703310,3.799650,0.003000,0.326000,0.013000,0.389000
0:1:43,national_transformation_v2_0,ALslavlk,0:1,,31,21,2,"POLYGON((-114.91666666666667 55.166666666666664,-114.91666666666667 55.33333333333333,-114.66666666666667 55.33333333333333,-114.66666666666667 55.166666666666664, -114.91666666666667 55.166666666666664))",0.232700,0.254890,4.039330,4.106080,0.005000,0.069000,0.003000,0.072000
0:1:44,national_transformation_v2_0,ALstetlr,0:1,,31,21,2,"POLYGON((-112.83333333333334 52.25,-112.83333333333334 52.416666666666664,-112.58333333333334 52.416666666666664,-112.58333333333334 52.25, -112.83333333333334 52.25))",0.223210,0.238520,3.410570,3.471850,0.003000,0.042000,0.003000,0.103000
0:1:45,national_transformation_v2_0,ALstpaul,0:1,,31,21,2,"POLYGON((-111.41666666666667 53.916666666666664,-111.41666666666667 54.08333333333333,-111.16666666666667 54.08333333333333,-111.16666666666667 53.916666666666664, -111.41666666666667 53.916666666666664))",0.298730,0.317760,3.168100,3.236510,0.001000,0.059000,0.001000,0.212000
0:1:46,national_transformation_v2_0,ALstramr,0:1,,31,21,2,"POLYGON((-113.5 51.0,-113.5 51.166666666666664,-113.25 51.166666666666664,-113.25 51.0, -113.5 51.0))",0.201690,0.219000,3.458620,3.498710,0.003000,0.180000,0.002000,0.091000
