lat,lon,de,dn,du
62.0,-141.5,-0.01666,-0.00941,0.0
62.25,-141.5,-0.01742,-0.0093,0.0
62.5,-141.5,-0.01787,-0.00914,0.0
62.75,-141.5,-0.01821,-0.00904,0.0
63.0,-141.5,-0.01842,-0.00897,0.0
63.25,-141.5,-0.0183,-0.00891,0.0
63.5,-141.5,-0.01812,-0.00885,0.0
63.75,-141.5,-0.0199,-0.01152,0.0
64.0,-141.5,-0.01971,-0.01153,0.0
54.0,-141.25,0.03309,-0.03084,0.0
54.25,-141.25,0.03316,-0.03053,0.0
54.5,-141.25,0.03324,-0.03022,0.0
54.75,-141.25,0.03333,-0.0299,0.0
55.0,-141.25,0.03342,-0.02957,0.0
55.25,-141.25,0.03355,-0.02925,0.0
55.5,-141.25,0.03369,-0.02893,0.0
55.75,-141.25,0.03384,-0.02858,0.0
56.0,-141.25,0.034,-0.02823,0.0
56.25,-141.25,0.03405,-0.02798,0.0
56.5,-141.25,0.03412,-0.02773,0.0
56.75,-141.25,0.03423,-0.02746,0.0
57.0,-141.25,0.03432,-0.0272,0.0
57.25,-141.25,0.03403,-0.02713,0.0
57.5,-141.25,0.03374,-0.02707,0.0
57.75,-141.25,0.03348,-0.02701,0.0
58.0,-141.25,0.03316,-0.027,0.0
58.25,-141.25,0.0323,-0.02724,0.0
58.5,-141.25,0.03117,-0.02791,0.0
58.75,-141.25,0.02949,-0.03239,0.0
59.0,-141.25,0.02852,-0.03313,0.0
59.25,-141.25,0.02818,-0.03305,0.0
59.5,-141.25,0.028,-0.03276,0.0
59.75,-141.25,0.02793,-0.03245,0.0
60.0,-141.25,-0.01381,-0.01198,0.0
60.25,-141.25,-0.01226,-0.01163,0.0
60.5,-141.25,-0.01124,-0.01144,0.0
60.75,-141.25,-0.0109,-0.01147,0.0
61.0,-141.25,-0.01115,-0.01152,0.0
61.25,-141.25,-0.01193,-0.01152,0.0
61.5,-141.25,-0.0145,-0.01132,0.0
61.75,-141.25,-0.01451,-0.00915,0.0
62.0,-141.25,-0.0166,-0.0093,0.0
62.25,-141.25,-0.01742,-0.00927,0.0
62.5,-141.25,-0.01788,-0.00916,0.0
62.75,-141.25,-0.01819,-0.00911,0.0
63.0,-141.25,-0.01841,-0.00908,0.0
63.25,-141.25,-0.01827,-0.00902,0.0
63.5,-141.25,-0.01809,-0.00895,0.0
63.75,-141.25,-0.01983,-0.01162,0.0
64.0,-141.25,-0.01964,-0.01164,0.0
54.0,-141.0,0.03301,-0.03074,0.0
54.25,-141.0,0.03312,-0.03042,0.0
54.5,-141.0,0.0332,-0.03012,0.0
54.75,-141.0,0.03329,-0.02979,0.0
55.0,-141.0,0.03338,-0.02946,0.0
55.25,-141.0,0.03352,-0.02914,0.0
55.5,-141.0,0.03365,-0.02882,0.0
55.75,-141.0,0.0338,-0.02849,0.0
56.0,-141.0,0.03401,-0.0281,0.0
56.25,-141.0,0.03398,-0.02792,0.0
56.5,-141.0,0.03404,-0.02768,0.0
56.75,-141.0,0.03411,-0.02743,0.0
57.0,-141.0,0.0344,-0.02709,0.0
57.25,-141.0,0.03385,-0.02715,0.0
57.5,-141.0,0.03353,-0.02712,0.0
57.75,-141.0,0.03323,-0.0271,0.0
58.0,-141.0,0.03313,-0.02708,0.0
58.25,-141.0,0.03195,-0.02744,0.0
58.5,-141.0,0.03089,-0.0283,0.0
58.75,-141.0,0.02919,-0.0328,0.0
59.0,-141.0,0.02784,-0.0335,0.0
59.25,-141.0,0.02786,-0.03316,0.0
59.5,-141.0,0.02772,-0.03283,0.0
59.75,-141.0,0.02756,-0.03256,0.0
60.0,-141.0,0.02894,-0.03163,0.0
60.25,-141.0,-0.01183,-0.01147,0.0
60.5,-141.0,-0.01065,-0.01149,0.0
60.75,-141.0,-0.01032,-0.01156,0.0
61.0,-141.0,-0.01058,-0.01144,0.0
61.25,-141.0,-0.01147,-0.01109,0.0
61.5,-141.0,-0.01325,-0.0097,0.0
61.75,-141.0,-0.01477,-0.00901,0.0
62.0,-141.0,-0.01673,-0.00925,0.0
62.25,-141.0,-0.01742,-0.00927,0.0
62.5,-141.0,-0.01788,-0.00922,0.0
62.75,-141.0,-0.01816,-0.00921,0.0
63.0,-141.0,-0.01849,-0.00919,0.0
63.25,-141.0,-0.01824,-0.00912,0.0
63.5,-141.0,-0.01807,-0.00906,0.0
63.75,-141.0,-0.01975,-0.01173,0.0
64.0,-141.0,-0.01957,-0.01174,0.0
54.0,-140.75,0.033,-0.03063,0.0
54.25,-140.75,0.03308,-0.03032,0.0
54.5,-140.75,0.03317,-0.03001,0.0
54.75,-140.75,0.03326,-0.02969,0.0
55.0,-140.75,0.03336,-0.02936,0.0
55.25,-140.75,0.03348,-0.02905,0.0
55.5,-140.75,0.0336,-0.02873,0.0
55.75,-140.75,0.03374,-0.0284,0.0
56.0,-140.75,0.03388,-0.02807,0.0
56.25,-140.75,0.0339,-0.02785,0.0
56.5,-140.75,0.03392,-0.02762,0.0
56.75,-140.75,0.03398,-0.0274,0.0
57.0,-140.75,0.03402,-0.02719,0.0
57.25,-140.75,0.03366,-0.02717,0.0
57.5,-140.75,0.03329,-0.02718,0.0
57.75,-140.75,0.03295,-0.02721,0.0
58.0,-140.75,0.03255,-0.0273,0.0
58.25,-140.75,0.03157,-0.0277,0.0
58.5,-140.75,0.03146,-0.02788,0.0
58.75,-140.75,0.02876,-0.03315,0.0
59.0,-140.75,0.02776,-0.03353,0.0
59.25,-140.75,0.02754,-0.03327,0.0
59.5,-140.75,0.02741,-0.03288,0.0
59.75,-140.75,0.02737,-0.03248,0.0
60.0,-140.75,0.02895,-0.03133,0.0
60.25,-140.75,-0.01136,-0.01118,0.0
60.5,-140.75,-0.01007,-0.01153,0.0
60.75,-140.75,-0.00971,-0.01163,0.0
61.0,-140.75,-0.0102,-0.01139,0.0
61.25,-140.75,-0.0115,-0.01044,0.0
61.5,-140.75,-0.01331,-0.00919,0.0
61.75,-140.75,-0.01488,-0.00904,0.0
62.0,-140.75,-0.01662,-0.00934,0.0
62.25,-140.75,-0.01735,-0.00928,0.0
62.5,-140.75,-0.01788,-0.0093,0.0
62.75,-140.75,-0.01812,-0.0093,0.0
63.0,-140.75,-0.01833,-0.00928,0.0
63.25,-140.75,-0.01821,-0.00922,0.0
63.5,-140.75,-0.01804,-0.00916,0.0
63.75,-140.75,-0.01969,-0.01183,0.0
64.0,-140.75,-0.0195,-0.01184,0.0
54.0,-140.5,0.03297,-0.03052,0.0
54.25,-140.5,0.03304,-0.03022,0.0
54.5,-140.5,0.03312,-0.02991,0.0
54.75,-140.5,0.03322,-0.02959,0.0
55.0,-140.5,0.03332,-0.02927,0.0
55.25,-140.5,0.03343,-0.02895,0.0
55.5,-140.5,0.03355,-0.02864,0.0
55.75,-140.5,0.03368,-0.02832,0.0
56.0,-140.5,0.0338,-0.028,0.0
56.25,-140.5,0.0338,-0.02778,0.0
56.5,-140.5,0.0338,-0.02758,0.0
56.75,-140.5,0.03382,-0.02738,0.0
57.0,-140.5,0.03378,-0.02722,0.0
57.25,-140.5,0.03344,-0.0272,0.0
57.5,-140.5,0.03304,-0.02723,0.0
57.75,-140.5,0.03265,-0.02731,0.0
58.0,-140.5,0.03214,-0.0275,0.0
58.25,-140.5,0.03113,-0.028,0.0
58.5,-140.5,0.02874,-0.03297,0.0
58.75,-140.5,0.0283,-0.03344,0.0
59.0,-140.5,0.02744,-0.03367,0.0
59.25,-140.5,0.02719,-0.03337,0.0
59.5,-140.5,0.02708,-0.0329,0.0
59.75,-140.5,0.02712,-0.03236,0.0
60.0,-140.5,0.02852,-0.03118,0.0
60.25,-140.5,0.03068,-0.02883,0.0
60.5,-140.5,-0.00908,-0.01177,0.0
60.75,-140.5,-0.00899,-0.01161,0.0
61.0,-140.5,-0.00982,-0.01106,0.0
61.25,-140.5,-0.01198,-0.00987,0.0
61.5,-140.5,-0.0134,-0.00907,0.0
61.75,-140.5,-0.01508,-0.00911,0.0
62.0,-140.5,-0.01654,-0.00931,0.0
62.25,-140.5,-0.01733,-0.00935,0.0
62.5,-140.5,-0.01782,-0.00939,0.0
62.75,-140.5,-0.01809,-0.0094,0.0
63.0,-140.5,-0.01828,-0.00939,0.0
63.25,-140.5,-0.01818,-0.00933,0.0
63.5,-140.5,-0.018,-0.00926,0.0
63.75,-140.5,-0.01962,-0.01194,0.0
64.0,-140.5,-0.01942,-0.01194,0.0
54.0,-140.25,0.03291,-0.03042,0.0
54.25,-140.25,0.03299,-0.03012,0.0
54.5,-140.25,0.03308,-0.02981,0.0
54.75,-140.25,0.03318,-0.02948,0.0
55.0,-140.25,0.03329,-0.02917,0.0
55.25,-140.25,0.03338,-0.02886,0.0
55.5,-140.25,0.03349,-0.02855,0.0
55.75,-140.25,0.03361,-0.02823,0.0
56.0,-140.25,0.03373,-0.02792,0.0
56.25,-140.25,0.0337,-0.02772,0.0
56.5,-140.25,0.03366,-0.02753,0.0
56.75,-140.25,0.03365,-0.02736,0.0
57.0,-140.25,0.03362,-0.02722,0.0
57.25,-140.25,0.0332,-0.02722,0.0
57.5,-140.25,0.03276,-0.02729,0.0
57.75,-140.25,0.03232,-0.02742,0.0
58.0,-140.25,0.03177,-0.02771,0.0
58.25,-140.25,0.03067,-0.02837,0.0
58.5,-140.25,0.02898,-0.0329,0.0
58.75,-140.25,0.02787,-0.03366,0.0
59.0,-140.25,0.02696,-0.0339,0.0
59.25,-140.25,0.02679,-0.03345,0.0
