nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
55.25,-161.5,-0.01963,-0.01308,0.0
55.5,-161.5,-0.01979,-0.01272,0.0
55.75,-161.5,-0.01974,-0.01237,0.0
56.0,-161.5,-0.01965,-0.01202,0.0
56.25,-161.5,-0.02271,-0.00732,0.0
56.5,-161.5,-0.02281,-0.00708,0.0
56.75,-161.5,-0.0229,-0.00687,0.0
57.0,-161.5,-0.02299,-0.00667,0.0
57.25,-161.5,-0.02312,-0.00643,0.0
57.5,-161.5,-0.02325,-0.00616,0.0
57.75,-161.5,-0.02337,-0.00588,0.0
58.0,-161.5,-0.0235,-0.00559,0.0
58.25,-161.5,-0.02369,-0.00531,0.0
58.5,-161.5,-0.02388,-0.00502,0.0
58.75,-161.5,-0.02407,-0.00473,0.0
59.0,-161.5,-0.02427,-0.00443,0.0
59.25,-161.5,-0.02449,-0.00423,0.0
59.5,-161.5,-0.02472,-0.00403,0.0
59.75,-161.5,-0.02494,-0.00384,0.0
60.0,-161.5,-0.02516,-0.00366,0.0
60.25,-161.5,-0.02536,-0.00358,0.0
60.5,-161.5,-0.02555,-0.00352,0.0
60.75,-161.5,-0.02574,-0.00346,0.0
61.0,-161.5,-0.02592,-0.00341,0.0
61.25,-161.5,-0.02605,-0.00345,0.0
61.5,-161.5,-0.02618,-0.00349,0.0
61.75,-161.5,-0.02631,-0.00354,0.0
62.0,-161.5,-0.02643,-0.0036,0.0
62.25,-161.5,-0.02161,-0.00274,0.0
62.5,-161.5,-0.02167,-0.00288,0.0
62.75,-161.5,-0.02172,-0.00302,0.0
63.0,-161.5,-0.02177,-0.00316,0.0
63.25,-161.5,-0.02177,-0.00332,0.0
63.5,-161.5,-0.02177,-0.00347,0.0
63.75,-161.5,-0.02176,-0.00363,0.0
64.0,-161.5,-0.02175,-0.00379,0.0
64.25,-161.5,-0.02172,-0.00392,0.0
64.5,-161.5,-0.02167,-0.00405,0.0
64.75,-161.5,-0.02163,-0.00418,0.0
65.0,-161.5,-0.02159,-0.00432,0.0
65.25,-161.5,-0.02154,-0.00442,0.0
65.5,-161.5,-0.02149,-0.00452,0.0
65.75,-161.5,-0.02144,-0.00462,0.0
53.25,-161.25,-0.01999,-0.0045,0.0
53.5,-161.25,-0.01931,-0.00457,0.0
53.75,-161.25,-0.0205,-0.01171,0.0
54.0,-161.25,-0.01984,-0.01206,0.0
54.25,-161.25,-0.01939,-0.01255,0.0
54.5,-161.25,-0.01923,-0.01311,0.0
54.75,-161.25,-0.01922,-0.01359,0.0
55.0,-161.25,-0.019,-0.01373,0.0
55.25,-161.25,-0.01894,-0.01336,0.0
55.5,-161.25,-0.01927,-0.01298,0.0
55.75,-161.25,-0.01924,-0.0126,0.0
56.0,-161.25,-0.01915,-0.01221,0.0
56.25,-161.25,-0.02221,-0.0075,0.0
56.5,-161.25,-0.02235,-0.00726,0.0
56.75,-161.25,-0.02249,-0.00705,0.0
57.0,-161.25,-0.02261,-0.00684,0.0
57.25,-161.25,-0.02278,-0.00658,0.0
57.5,-161.25,-0.02294,-0.0063,0.0
57.75,-161.25,-0.02311,-0.006,0.0
58.0,-161.25,-0.02327,-0.00568,0.0
58.25,-161.25,-0.02348,-0.00538,0.0
58.5,-161.25,-0.0237,-0.00507,0.0
58.75,-161.25,-0.02393,-0.00476,0.0
59.0,-161.25,-0.02415,-0.00444,0.0
59.25,-161.25,-0.0244,-0.00423,0.0
59.5,-161.25,-0.02465,-0.00402,0.0
59.75,-161.25,-0.02489,-0.00382,0.0
60.0,-161.25,-0.02514,-0.00363,0.0
60.25,-161.25,-0.02535,-0.00355,0.0
60.5,-161.25,-0.02555,-0.00349,0.0
60.75,-161.25,-0.02575,-0.00343,0.0
61.0,-161.25,-0.02594,-0.00339,0.0
61.25,-161.25,-0.02609,-0.00343,0.0
61.5,-161.25,-0.02622,-0.00348,0.0
61.75,-161.25,-0.02635,-0.00354,0.0
62.0,-161.25,-0.02647,-0.0036,0.0
62.25,-161.25,-0.02165,-0.00273,0.0
62.5,-161.25,-0.02171,-0.00288,0.0
62.75,-161.25,-0.02176,-0.00303,0.0
63.0,-161.25,-0.02181,-0.00319,0.0
63.25,-161.25,-0.02181,-0.00335,0.0
63.5,-161.25,-0.0218,-0.00351,0.0
63.75,-161.25,-0.02179,-0.00368,0.0
