group,grid,ngridi,ngridj,type,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
National Transformation v2_0,ALcoldlk,31,31,float32,"POLYGON((-110.33333333333334 54.33333333333333,-110.33333333333334 54.58333333333333,-110.08333333333334 54.58333333333333,-110.08333333333334 54.33333333333333, -110.33333333333334 54.33333333333333))",0.3020,0.3223,3.0292,3.1018,0.0010,0.1830,0.0020,0.0820
National Transformation v2_0,ALcrowps,71,31,float32,"POLYGON((-114.75 49.5,-114.75 49.75,-114.16666666666667 49.75,-114.16666666666667 49.5, -114.75 49.5))",-0.0015,0.0490,3.4989,3.6435,0.0000,0.5740,0.0000,0.7660
National Transformation v2_0,ALdraytn,31,31,float32,"POLYGON((-115.08333333333334 53.08333333333333,-115.08333333333334 53.33333333333333,-114.83333333333334 53.33333333333333,-114.83333333333334 53.08333333333333, -115.08333333333334 53.08333333333333))",0.2010,0.2251,3.7987,3.8671,0.0080,0.2310,0.0050,0.4050
National Transformation v2_0,ALdrumhl,61,41,float32,"POLYGON((-112.91666666666667 51.24999999999999,-112.91666666666667 51.58333333333333,-112.41666666666667 51.58333333333333,-112.41666666666667 51.24999999999999, -112.91666666666667 51.24999999999999))",0.2224,0.2322,3.3137,3.4003,0.0000,0.1070,0.0010,0.1650
National Transformation v2_0,ALedmntn,131,91,float32,"POLYGON((-114.16666666666667 53.166666666666664,-114.16666666666667 53.916666666666664,-113.08333333333334 53.916666666666664,-113.08333333333334 53.166666666666664, -114.16666666666667 53.166666666666664))",0.2167,0.2733,3.5638,3.7410,0.0000,0.1660,0.0000,0.2680
National Transformation v2_0,ALedson,41,21,float32,"POLYGON((-116.58333333333334 53.5,-116.58333333333334 53.666666666666664,-116.25000000000001 53.666666666666664,-116.25000000000001 53.5, -116.58333333333334 53.5))",0.2444,0.2674,4.0764,4.1510,0.0060,0.1530,0.0040,0.1900
National Transformation v2_0,ALfairvw,21,21,float32,"POLYGON((-118.5 56.0,-118.5 56.166666666666664,-118.33333333333333 56.166666666666664,-118.33333333333333 56.0, -118.5 56.0))",0.0811,0.1033,4.9560,4.9922,0.0020,0.4900,0.0050,0.0690
National Transformation v2_0,ALftmacl,31,21,float32,"POLYGON((-113.5 49.666666666666664,-113.5 49.83333333333333,-113.25 49.83333333333333,-113.25 49.666666666666664, -113.5 49.666666666666664))",-0.0113,0.0349,3.3561,3.4637,0.0120,0.3410,0.0120,0.3940
National Transformation v2_0,ALftmcmr,61,31,float32,"POLYGON((-111.58333333333334 56.58333333333333,-111.58333333333334 56.83333333333333,-111.08333333333334 56.83333333333333,-111.08333333333334 56.58333333333333, -111.58333333333334 56.58333333333333))",0.3539,0.3861,3.3080,3.4287,0.0010,0.3220,0.0010,0.2670
National Transformation v2_0,ALgrcach,31,21,float32,"POLYGON((-119.25 53.833333333333336,-119.25 54.0,-119.0 54.0,-119.0 53.833333333333336, -119.25 53.833333333333336))",0.0475,0.0952,4.5636,4.6830,0.0000,0.4690,0.0000,0.4570
National Transformation v2_0,ALgrimsh,21,21,float32,"POLYGON((-117.66666666666667 56.083333333333336,-117.66666666666667 56.25,-117.5 56.25,-117.5 56.083333333333336, -117.66666666666667 56.083333333333336))",0.1421,0.1640,4.8455,4.8847,0.0020,0.0370,0.0030,0.0640
National Transformation v2_0,ALgrprar,41,21,float32,"POLYGON((-118.91666666666667 55.083333333333336,-118.91666666666667 55.25,-118.58333333333334 55.25,-118.58333333333334 55.083333333333336, -118.91666666666667 55.083333333333336))",-0.0575,-0.0122,4.8380,4.8998,0.0020,0.1800,0.0010,0.0540
National Transformation v2_0,ALhanna,31,21,float32,"POLYGON((-112.08333333333334 51.583333333333336,-112.08333333333334 51.75,-111.83333333333334 51.75,-111.83333333333334 51.583333333333336, -112.08333333333334 51.583333333333336))",0.2318,0.2426,3.2392,3.2814,0.0010,0.0160,0.0010,0.0190
National Transformation v2_0,ALhilevl,31,21,float32,"POLYGON((-117.25 58.416666666666664,-117.25 58.58333333333333,-117.0 58.58333333333333,-117.0 58.416666666666664, -117.25 58.416666666666664))",0.3040,0.3357,4.9347,5.0287,0.0010,0.1490,0.0020,0.3590
National Transformation v2_0,ALhinton,31,21,float32,"POLYGON((-117.66666666666667 53.333333333333336,-117.66666666666667 53.5,-117.41666666666667 53.5,-117.41666666666667 53.333333333333336, -117.66666666666667 53.333333333333336))",0.1440,0.1735,4.2400,4.2971,0.0020,0.1530,0.0020,0.0970
National Transformation v2_0,ALhiprai,41,21,float32,"POLYGON((-116.66666666666667 55.333333333333336,-116.66666666666667 55.5,-116.33333333333334 55.5,-116.33333333333334 55.333333333333336, -116.66666666666667 55.333333333333336))",0.1465,0.1867,4.4638,4.5404,0.0050,0.2360,0.0070,0.1350
National Transformation v2_0,ALinnsfl,21,31,float32,"POLYGON((-114.0 51.916666666666664,-114.0 52.166666666666664,-113.83333333333333 52.166666666666664,-113.83333333333333 51.916666666666664, -114.0 51.916666666666664))",0.1981,0.2097,3.5644,3.6187,0.0020,0.1020,0.0010,0.1610
National Transformation v2_0,ALjasper,21,11,float32,"POLYGON((-118.16666666666667 52.83333333333333,-118.16666666666667 52.916666666666664,-118.0 52.916666666666664,-118.0 52.83333333333333, -118.16666666666667 52.83333333333333))",0.0081,0.0560,4.2370,4.2841,0.1550,0.6860,0.0780,0.2450
National Transformation v2_0,ALlacbic,31,21,float32,"POLYGON((-112.08333333333334 54.666666666666664,-112.08333333333334 54.83333333333333,-111.83333333333334 54.83333333333333,-111.83333333333334 54.666666666666664, -112.08333333333334 54.666666666666664))",0.3496,0.3619,3.4084,3.4519,0.0020,0.0210,0.0010,0.0270
National Transformation v2_0,ALlacomb,31,11,float32,"POLYGON((-113.83333333333334 52.49999999999999,-113.83333333333334 52.58333333333333,-113.58333333333334 52.58333333333333,-113.58333333333334 52.49999999999999, -113.83333333333334 52.49999999999999))",0.2042,0.2138,3.5857,3.6293,0.0020,0.0600,0.0010,0.0450
