group,grid,ngridi,ngridj,type,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
National Transformation v2_0,ONthundr,71,51,float32,"POLYGON((-89.58333333333334 48.166666666666664,-89.58333333333334 48.58333333333333,-89.00000000000001 48.58333333333333,-89.00000000000001 48.166666666666664, -89.58333333333334 48.166666666666664))",0.1670,0.1832,0.1760,0.2719,0.0000,0.0440,0.0010,0.0600
National Transformation v2_0,SAestvan,21,21,float32,"POLYGON((-103.08333333333334 49.083333333333336,-103.08333333333334 49.25,-102.91666666666667 49.25,-102.91666666666667 49.083333333333336, -103.08333333333334 49.083333333333336))",0.1111,0.1300,1.6388,1.6963,0.1020,0.2490,0.1070,0.3510
National Transformation v2_0,SAmelfrt,71,21,float32,"POLYGON((-104.66666666666667 52.75,-104.66666666666667 52.916666666666664,-104.08333333333334 52.916666666666664,-104.08333333333334 52.75, -104.66666666666667 52.75))",0.0182,0.0635,1.7092,1.7906,0.0290,0.4220,0.0500,0.3530
National Transformation v2_0,SAmelvil,21,21,float32,"POLYGON((-102.91666666666667 50.833333333333336,-102.91666666666667 51.0,-102.75 51.0,-102.75 50.833333333333336, -102.91666666666667 50.833333333333336))",0.0080,0.0280,1.7722,1.8008,0.1190,0.3250,0.0480,0.1470
National Transformation v2_0,SAmosjaw,41,21,float32,"POLYGON((-105.75 50.333333333333336,-105.75 50.5,-105.41666666666667 50.5,-105.41666666666667 50.333333333333336, -105.75 50.333333333333336))",0.0938,0.1001,2.0488,2.0951,0.0000,0.1250,0.0010,0.0530
National Transformation v2_0,SAnbatle,31,21,float32,"POLYGON((-108.41666666666667 52.666666666666664,-108.41666666666667 52.83333333333333,-108.16666666666667 52.83333333333333,-108.16666666666667 52.666666666666664, -108.41666666666667 52.666666666666664))",0.2308,0.2540,2.4042,2.4996,0.0050,0.2510,0.0010,0.9770
National Transformation v2_0,SApralbt,61,31,float32,"POLYGON((-106.0 53.08333333333333,-106.0 53.33333333333333,-105.5 53.33333333333333,-105.5 53.08333333333333, -106.0 53.08333333333333))",0.1236,0.1723,1.7881,1.9017,0.0000,0.3890,0.0000,0.2740
National Transformation v2_0,SAregina,31,31,float32,"POLYGON((-104.75 50.33333333333333,-104.75 50.58333333333333,-104.5 50.58333333333333,-104.5 50.33333333333333, -104.75 50.33333333333333))",0.1403,0.2052,1.9605,2.0468,0.0010,0.7740,0.0010,0.4290
National Transformation v2_0,SAsatoon,51,31,float32,"POLYGON((-106.83333333333334 52.0,-106.83333333333334 52.25,-106.41666666666667 52.25,-106.41666666666667 52.0, -106.83333333333334 52.0))",0.1390,0.1707,2.1593,2.2630,0.0020,0.1770,0.0020,0.4440
National Transformation v2_0,SAswiftc,31,31,float32,"POLYGON((-107.91666666666667 50.166666666666664,-107.91666666666667 50.416666666666664,-107.66666666666667 50.416666666666664,-107.66666666666667 50.166666666666664, -107.91666666666667 50.166666666666664))",0.1112,0.1274,2.3981,2.4513,0.0010,0.1030,0.0020,0.1540
National Transformation v2_0,SAweybrn,21,21,float32,"POLYGON((-103.91666666666667 49.583333333333336,-103.91666666666667 49.75,-103.75 49.75,-103.75 49.583333333333336, -103.91666666666667 49.583333333333336))",0.0866,0.0967,1.9288,1.9907,0.1210,0.2870,0.1020,0.3590
National Transformation v2_0,SAyorktn,31,21,float32,"POLYGON((-102.58333333333334 51.166666666666664,-102.58333333333334 51.33333333333333,-102.33333333333334 51.33333333333333,-102.33333333333334 51.166666666666664, -102.58333333333334 51.166666666666664))",-0.0017,0.0108,1.7028,1.7383,0.0020,0.1130,0.0050,0.0640
National Transformation v2_0,CAnorth,589,181,float32,"POLYGON((-142.0 60.0,-142.0 75.0,-44.0 75.0,-44.0 60.0, -142.0 60.0))",-1.3747,2.9552,-13.4633,18.2206,0.0010,17.1190,0.0020,10.2440
National Transformation v2_0,NWclyder,31,31,float32,"POLYGON((-68.83333333333333 70.33333333333334,-68.83333333333333 70.58333333333334,-68.33333333333333 70.58333333333334,-68.33333333333333 70.33333333333334, -68.83333333333333 70.33333333333334))",1.9066,1.9421,-5.3794,-5.1382,0.1830,2.7570,0.4550,1.3430
National Transformation v2_0,NWftgood,21,21,float32,"POLYGON((-128.83333333333334 66.16666666666667,-128.83333333333334 66.33333333333334,-128.5 66.33333333333334,-128.5 66.16666666666667, -128.83333333333334 66.16666666666667))",0.1285,0.1722,7.3096,7.4260,0.6440,1.0210,0.2200,0.3390
National Transformation v2_0,NWhayriv,61,61,float32,"POLYGON((-116.5 60.5,-116.5 61.0,-115.5 61.0,-115.5 60.5, -116.5 60.5))",0.4074,0.4773,4.7967,5.0386,0.0020,0.2180,0.0000,0.1530
National Transformation v2_0,NWinuvik,31,41,float32,"POLYGON((-133.83333333333334 68.16666666666667,-133.83333333333334 68.5,-133.33333333333334 68.5,-133.33333333333334 68.16666666666667, -133.83333333333334 68.16666666666667))",-0.2786,-0.1723,8.9970,9.3348,0.3360,0.8820,0.1720,0.6010
National Transformation v2_0,NWiqulit,61,61,float32,"POLYGON((-69.0 63.49999999999999,-69.0 63.99999999999999,-68.0 63.99999999999999,-68.0 63.49999999999999, -69.0 63.49999999999999))",1.0036,1.1128,-4.1174,-3.8507,0.0030,1.1940,0.0020,0.2970
National Transformation v2_0,NWpondin,41,21,float32,"POLYGON((-78.16666666666666 72.58333333333333,-78.16666666666666 72.75,-77.49999999999999 72.75,-77.49999999999999 72.58333333333333, -78.16666666666666 72.58333333333333))",2.4373,2.4735,-3.3236,-3.0930,0.0650,0.1250,0.0860,0.1670
National Transformation v2_0,NWrankin,11,21,float32,"POLYGON((-92.16666666666666 62.75,-92.16666666666666 62.916666666666664,-91.99999999999999 62.916666666666664,-91.99999999999999 62.75, -92.16666666666666 62.75))",1.1102,1.1276,-0.1235,-0.0883,0.0030,0.0920,0.0180,0.1030
National Transformation v2_0,NWyellow,11,11,float32,"POLYGON((-114.5 62.416666666666664,-114.5 62.5,-114.33333333333333 62.5,-114.33333333333333 62.416666666666664, -114.5 62.416666666666664))",0.7049,0.7161,4.5772,4.6228,0.0030,0.2070,0.0020,0.2640
National Transformation v2_0,YUdawson,11,21,float32,"POLYGON((-139.5 64.0,-139.5 64.16666666666667,-139.33333333333334 64.16666666666667,-139.33333333333334 64.0, -139.5 64.0))",-0.9961,-0.9441,8.0050,8.0693,0.1940,0.5260,0.0700,0.2950
National Transformation v2_0,YUrossri,11,21,float32,"POLYGON((-132.58333333333334 61.916666666666664,-132.58333333333334 62.08333333333333,-132.41666666666669 62.08333333333333,-132.41666666666669 61.916666666666664, -132.58333333333334 61.916666666666664))",-0.7595,-0.7362,6.8711,6.9251,0.1210,0.2120,0.0600,0.1730
National Transformation v2_0,YUwhiteh,6,11,float32,"POLYGON((-135.08333333333334 60.666666666666664,-135.08333333333334 60.75,-135.0 60.75,-135.0 60.666666666666664, -135.08333333333334 60.666666666666664))",-1.0582,-1.0485,6.7265,6.7570,0.0020,0.0250,0.0010,0.0230
National Transformation v2_0,CAarctic,295,109,float32,"POLYGON((-142.0 75.0,-142.0 84.0,-44.0 84.0,-44.0 75.0, -142.0 75.0))",0.7969,4.8127,-38.4454,39.3323,0.0240,10.1620,0.0070,10.6070
