nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
57.75,-149.0,0.02957,-0.02799,0.0
58.0,-149.0,0.02829,-0.02722,0.0
58.25,-149.0,0.0269,-0.02644,0.0
58.5,-149.0,0.02542,-0.02566,0.0
58.75,-149.0,0.02388,-0.02488,0.0
59.0,-149.0,0.02235,-0.02406,0.0
59.25,-149.0,0.02084,-0.02319,0.0
59.5,-149.0,0.01942,-0.02235,0.0
59.75,-149.0,0.01859,-0.02206,0.0
60.0,-149.0,0.0167,-0.02288,0.0
60.25,-149.0,0.01131,-0.02254,0.0
60.5,-149.0,0.00706,-0.02052,0.0
60.75,-149.0,0.00018,-0.01849,0.0
61.0,-149.0,-0.00422,-0.02011,0.0
61.25,-149.0,-0.01026,-0.0173,0.0
61.5,-149.0,-0.01709,-0.01406,0.0
61.75,-149.0,-0.01986,-0.01487,0.0
62.0,-149.0,-0.01932,-0.01426,0.0
62.25,-149.0,-0.02026,-0.01421,0.0
62.5,-149.0,-0.02169,-0.01368,0.0
62.75,-149.0,-0.02339,-0.01288,0.0
63.0,-149.0,-0.02548,-0.01208,0.0
56.5,-148.75,0.03808,-0.03176,0.0
56.75,-148.75,0.03571,-0.03119,0.0
57.0,-148.75,0.03364,-0.03075,0.0
57.25,-148.75,0.03222,-0.02978,0.0
57.5,-148.75,0.03102,-0.02892,0.0
57.75,-148.75,0.02987,-0.02814,0.0
58.0,-148.75,0.02864,-0.02739,0.0
58.25,-148.75,0.02726,-0.02663,0.0
58.5,-148.75,0.02577,-0.02587,0.0
58.75,-148.75,0.02426,-0.02511,0.0
59.0,-148.75,0.02283,-0.02437,0.0
59.25,-148.75,0.02165,-0.02368,0.0
59.5,-148.75,0.02098,-0.02324,0.0
59.75,-148.75,0.02098,-0.02348,0.0
60.0,-148.75,0.01949,-0.02415,0.0
60.25,-148.75,0.01542,-0.02377,0.0
60.5,-148.75,0.01128,-0.02215,0.0
60.75,-148.75,0.00584,-0.02042,0.0
61.0,-148.75,-0.00066,-0.0206,0.0
61.25,-148.75,-0.00684,-0.01834,0.0
61.5,-148.75,-0.01265,-0.01602,0.0
61.75,-148.75,-0.01545,-0.01536,0.0
62.0,-148.75,-0.01726,-0.0154,0.0
62.25,-148.75,-0.01921,-0.01504,0.0
62.5,-148.75,-0.02109,-0.01424,0.0
62.75,-148.75,-0.02305,-0.01331,0.0
63.0,-148.75,-0.02528,-0.0125,0.0
56.5,-148.5,0.03814,-0.03178,0.0
56.75,-148.5,0.03576,-0.03119,0.0
57.0,-148.5,0.03371,-0.03064,0.0
57.25,-148.5,0.03235,-0.02982,0.0
57.5,-148.5,0.03125,-0.02902,0.0
57.75,-148.5,0.03018,-0.02828,0.0
58.0,-148.5,0.029,-0.02756,0.0
58.25,-148.5,0.02764,-0.02682,0.0
58.5,-148.5,0.02614,-0.02607,0.0
58.75,-148.5,0.02463,-0.02534,0.0
59.0,-148.5,0.02328,-0.02468,0.0
59.25,-148.5,0.02238,-0.02415,0.0
59.5,-148.5,0.02241,-0.02406,0.0
59.75,-148.5,0.02356,-0.02482,0.0
